Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800505007,2068,1812,256,173,2,6,3,4,22,0,0,131,23,4,19,8,0,2,5,0,34,0,0,1,12,3,0,1,0,5,8,0,0,18,18,0,0
2800505008,1175,945,230,186,2,15,1,3,15,2,0,143,5,0,4,5,5,0,0,0,34,0,0,0,15,0,6,2,0,7,2,0,1,0,0,0,0
2800505009,1590,1230,360,260,2,7,1,3,17,17,1,212,7,2,4,27,5,12,0,7,51,4,0,4,12,0,8,4,4,0,7,1,0,15,15,0,0
2800505010,900,691,209,143,0,7,0,0,31,0,0,105,21,0,17,22,6,16,0,0,22,1,0,5,7,0,0,0,1,3,4,1,0,1,1,0,0
2800505011,1569,1139,430,308,0,33,2,4,17,0,1,249,6,0,6,14,1,0,2,3,89,3,0,4,37,1,9,9,1,3,20,0,1,13,12,0,0
2800505012,2147,1433,714,493,1,36,0,2,38,11,0,402,34,0,26,53,7,17,19,0,133,1,0,10,39,1,2,14,2,19,36,0,6,0,0,0,1
2800505013,1140,1095,45,26,6,0,1,0,5,1,1,3,1,1,0,0,0,0,0,0,18,0,0,7,2,1,0,2,2,0,0,0,0,0,0,0,0
2800505014,2466,2017,449,339,2,22,0,5,27,1,3,274,24,2,9,13,0,10,3,0,60,1,5,2,14,0,5,11,0,5,9,2,5,13,9,0,0
2800505015,1580,1455,125,93,0,2,7,10,0,0,3,67,0,0,0,2,0,0,1,0,27,2,0,4,5,2,0,4,0,2,1,0,2,3,1,0,0
2800505016,1034,958,76,49,3,1,0,8,1,0,1,34,0,0,0,1,0,0,0,0,20,4,0,0,0,4,0,3,0,4,1,0,4,5,1,0,1
2800505017,2156,1378,778,531,0,22,2,10,106,2,0,382,27,2,23,78,2,53,9,0,112,1,12,20,23,4,0,11,3,16,19,2,1,30,25,0,0
2800505018,1184,951,233,141,1,14,1,6,20,1,1,97,45,0,35,7,0,1,1,0,30,3,3,2,13,0,1,1,2,4,0,0,0,10,10,0,0
2800505019,796,614,182,138,0,7,0,2,5,0,0,121,0,0,0,7,0,1,0,4,31,1,0,0,8,0,2,2,0,8,3,0,4,6,6,0,0
2800505020,2043,1431,612,388,1,40,1,2,66,6,1,270,36,2,26,68,1,34,10,5,106,0,0,11,33,0,0,13,1,28,13,1,3,14,9,5,0
2800505021,2121,1620,501,404,2,17,0,2,46,10,0,327,21,0,21,15,0,15,0,0,54,0,0,7,18,2,0,6,1,3,13,2,0,7,7,0,0
2800505022,2070,1889,181,123,2,6,3,3,0,1,1,100,4,1,2,8,2,4,2,0,30,2,0,11,3,5,2,0,1,1,1,2,0,16,5,0,0
2800505023,1892,1500,392,275,2,7,1,6,29,0,0,226,19,0,18,8,0,4,1,0,67,13,0,1,6,5,0,15,0,1,22,0,2,23,16,0,0
2800505024,1850,1224,626,486,3,10,1,4,38,7,0,418,25,0,21,20,3,2,4,0,88,1,1,26,23,3,4,10,1,3,12,0,4,7,4,0,0
2800505025,1603,1017,586,453,0,33,0,1,48,0,2,363,3,0,2,42,4,14,19,0,86,2,1,3,33,8,0,6,1,5,14,0,1,2,2,0,0
2800505026,1744,1153,591,422,0,18,5,1,100,4,1,293,36,0,36,34,0,6,5,0,87,4,0,3,22,5,0,19,1,24,4,0,2,12,9,0,0
2800505027,1020,659,361,222,3,12,4,2,46,1,0,152,5,0,5,50,5,12,9,0,78,3,7,1,27,1,0,8,0,3,21,2,4,6,5,0,0
2800505028,1044,1038,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
2800505029,1944,1663,281,208,2,11,0,5,11,1,1,175,14,0,12,2,0,1,1,0,51,0,1,11,8,6,3,5,3,6,6,0,0,5,4,0,1
2800505030,651,637,14,11,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
