Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800503014,2890,2450,440,338,0,29,0,12,17,11,3,265,16,1,5,13,0,1,0,0,42,2,0,1,18,2,1,1,0,2,1,0,3,30,3,0,1
2800503015,2427,2320,107,64,2,6,0,7,9,2,1,33,5,4,0,10,0,6,0,0,20,2,0,4,1,2,3,0,0,3,1,0,3,8,3,0,0
2800503016,2293,2132,161,69,4,0,5,18,4,8,0,21,1,1,0,4,0,2,0,0,45,1,1,3,5,0,0,0,4,1,0,0,2,42,39,1,0
2800503017,2153,2038,115,57,5,2,0,17,0,11,3,17,4,0,0,5,4,1,0,0,27,4,0,2,1,8,1,0,1,3,0,0,1,19,14,0,3
2800504001,3004,2567,437,61,1,1,4,7,8,4,4,26,23,14,4,21,0,2,0,0,146,11,0,6,29,3,4,27,1,7,20,2,7,186,160,0,0
2800504002,1635,1574,61,32,0,0,2,0,0,3,0,25,1,1,0,0,0,0,0,0,20,0,0,0,2,4,0,0,0,1,1,0,3,8,5,0,0
2800504003,1848,1767,81,50,3,3,0,12,4,1,0,24,1,0,0,1,0,0,0,0,17,0,0,1,6,0,0,0,5,0,0,0,1,12,12,0,0
2800504004,1402,1354,48,20,0,1,0,4,0,4,0,11,7,0,4,0,0,0,0,0,17,2,0,9,1,0,0,0,0,1,0,0,1,4,0,0,0
2800504005,1854,1691,163,88,2,0,0,3,8,3,0,69,9,0,8,14,0,1,7,1,44,4,0,5,18,2,0,0,0,0,2,0,10,8,7,0,0
2800504006,2057,1900,157,106,0,4,2,5,16,6,0,70,15,0,12,1,0,0,0,0,16,2,0,0,0,1,0,5,1,1,0,0,4,19,16,0,0
2800504007,2420,2328,92,51,1,3,1,6,0,1,0,35,3,2,1,2,1,0,0,0,27,5,0,6,10,1,0,0,1,1,0,0,0,9,4,0,0
2800504008,2233,2148,85,31,1,8,5,5,4,0,1,4,9,1,2,0,0,0,0,0,17,3,0,1,0,0,4,1,0,2,3,0,0,28,21,0,0
2800504009,2206,2025,181,118,1,5,3,1,25,6,2,65,0,0,0,20,0,2,0,0,25,2,0,2,5,1,4,4,0,0,2,0,1,18,16,1,0
2800504010,2386,2237,149,94,2,0,0,9,4,1,0,62,4,0,2,6,0,5,0,0,25,1,0,2,2,6,0,5,1,0,1,0,0,20,20,0,0
2800504011,2495,2373,122,75,3,5,3,8,5,5,1,41,6,0,6,5,0,3,1,0,24,1,1,3,5,0,0,0,4,2,1,0,3,12,10,0,0
2800504012,1790,1542,248,130,0,22,3,5,27,3,0,64,27,3,17,51,0,32,0,0,34,2,5,1,14,0,1,2,0,2,1,1,5,6,2,0,0
2800504013,2067,2013,54,27,1,3,2,1,0,0,0,19,11,0,0,2,0,0,1,0,9,0,1,2,1,0,0,0,0,0,0,0,2,5,2,0,0
2800504014,1917,1820,97,56,0,5,1,0,5,1,2,42,5,1,0,2,0,0,0,0,17,0,0,0,3,0,1,0,2,1,0,0,0,17,15,0,0
2800504015,1224,1104,120,47,1,1,0,2,11,0,1,29,0,0,0,45,1,29,7,0,20,0,0,2,3,1,4,4,1,4,0,0,1,8,6,1,0
