TIPO_ELECCION;ANIO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;MUNICIPIO;COD_DIST_ELEC;COD_PART_JUD;COD_DIP_PROV;COD_COM;POBLACION_DER;N_MESAS;CENSO;CENSO_ESCR;CENSO_CERE;VOTOS_CERE;VOTOS_1AVANCE;VOTOS_2AVANCE;VOTOS_BLANCO;VOTOS_NULOS;VOTOS_CAND;ESCANIOS;VOTOS_REFR_SI;VOTOS_REFR_NO;DATOS_OFIC
04;2011;05;1;01;11;004;99;Algeciras;0;004;004;000;00116417;00146;00087546;00087566;00000211;00000000;00024619;00033726;00001448;00000739;00041920;027;00000000;00000000;S
04;2011;05;1;01;11;005;99;Algodonales;0;006;006;000;00005743;00008;00004647;00004648;00000042;00000000;00002036;00002626;00000051;00000079;00003171;013;00000000;00000000;S
04;2011;05;1;01;11;006;99;Arcos de la Frontera;0;006;006;000;00031449;00039;00024289;00024283;00000088;00000000;00009213;00012347;00000193;00000126;00016279;021;00000000;00000000;S
04;2011;05;1;01;11;007;99;Barbate;0;015;015;000;00022977;00029;00018060;00018066;00000109;00000000;00005907;00008240;00000376;00000148;00010058;021;00000000;00000000;S
04;2011;05;1;01;11;008;99;Barrios (Los);0;004;004;000;00022587;00026;00016747;00016750;00000148;00000000;00006736;00008973;00000230;00000134;00010866;021;00000000;00000000;S
04;2011;05;1;01;11;009;99;Benaocaz;0;006;006;000;00000754;00001;00000649;00000649;00000005;00000000;00000274;00000406;00000005;00000011;00000501;007;00000000;00000000;S
04;2011;05;1;01;11;010;99;Bornos;0;006;006;000;00008109;00011;00006455;00006456;00000017;00000000;00002826;00003928;00000067;00000028;00005004;013;00000000;00000000;S
04;2011;05;1;01;11;011;99;Bosque (El);0;006;006;000;00002098;00002;00001689;00001689;00000005;00000000;00000726;00001032;00000009;00000013;00001314;011;00000000;00000000;S
04;2011;05;1;01;11;012;99;Cádiz;0;012;012;000;00125826;00183;00104465;00104489;00000204;00000000;00034903;00046474;00001214;00000742;00057437;027;00000000;00000000;S
04;2011;05;1;01;11;013;99;Castellar de la Frontera;0;033;033;000;00003175;00004;00002326;00002326;00000045;00000000;00001032;00001505;00000017;00000030;00001827;011;00000000;00000000;S
04;2011;05;1;01;11;014;99;Conil de la Frontera;0;015;015;000;00021331;00026;00016578;00016581;00000378;00000000;00006096;00007944;00000200;00000098;00010243;021;00000000;00000000;S
04;2011;05;1;01;11;015;99;Chiclana de la Frontera;0;015;015;000;00078591;00095;00059439;00059443;00000439;00000000;00018208;00023673;00000791;00000445;00029897;025;00000000;00000000;S
04;2011;05;1;01;11;016;99;Chipiona;0;032;032;000;00018722;00023;00014642;00014642;00000083;00000000;00005926;00007744;00000165;00000103;00010243;017;00000000;00000000;S
04;2011;05;1;01;11;017;99;Espera;0;006;006;000;00003969;00006;00003209;00003209;00000002;00000000;00001551;00002047;00000022;00000031;00002611;011;00000000;00000000;S
04;2011;05;1;01;11;018;99;Gastor (El);0;006;006;000;00001851;00003;00001549;00001553;00000019;00000000;00000762;00001103;00000014;00000010;00001285;009;00000000;00000000;S
04;2011;05;1;01;11;019;99;Grazalema;0;006;006;000;00002203;00003;00001878;00001874;00000008;00000000;00000769;00001238;00000012;00000029;00001527;011;00000000;00000000;S
04;2011;05;1;01;11;020;99;Jerez de la Frontera;0;020;020;000;00208896;00272;00163459;00163480;00000321;00000000;00058622;00074722;00002324;00001047;00095766;027;00000000;00000000;S
04;2011;05;1;01;11;021;99;Jimena de la Frontera;0;033;033;000;00010440;00012;00007111;00007111;00000297;00000000;00003296;00004484;00000083;00000061;00005344;017;00000000;00000000;S
